iter	Accuracy	Logloss
288	0.7355100464	0.5360411691
289	0.7355100464	0.5359972417
290	0.7355451735	0.5359607697
291	0.7355627371	0.5359422758
292	0.7355276099	0.5359158152
293	0.7354749192	0.535829359
294	0.7354573556	0.5357990464
295	0.7354924828	0.5357478307
296	0.7354924828	0.5357217868
297	0.735439792	0.5357015198
298	0.7355627371	0.5356658857
299	0.7354924828	0.5356447353
